remitente,asunto,mensaje,enlaces,etiqueta
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
compras@hospital.mx,"Voy a llegar un poco tarde, hay","Voy a llegar un poco tarde, hay mucho tráfico.",,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
contabilidad@cliente.com,Nos vemos en la cafetería después del,Nos vemos en la cafetería después del trabajo.,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
facturacion@seguridadbancaria-alerta.com,Gana dinero fácil desde casa. Solo necesitas (urgente),Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com,http://scam-money.com,spam
compras@hospital.mx,"Voy a llegar un poco tarde, hay","Voy a llegar un poco tarde, hay mucho tráfico.",,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
ventas@empresa.com,¿Puedes enviarme el informe antes de la,¿Puedes enviarme el informe antes de la tarde?,,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
soporte@netflix-pagos.support,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: (urgente),¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com,http://fake-url.com,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
facturacion@netflix-pagos.support,¡Compra ahora! Descuento del 80% solo por,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.,https://netflix-pagos.support/oferta,spam
compras@hospital.mx,"Voy a llegar un poco tarde, hay","Voy a llegar un poco tarde, hay mucho tráfico.",,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
noreply@loteria-gratis.win,Heredaste una gran suma de dinero. Contáctanos (urgente),Heredaste una gran suma de dinero. Contáctanos para recibirla.,https://loteria-gratis.win/reclamar-premio,spam
soporte@empresa.com,¿Qué planes tienes para el próximo feriado?,¿Qué planes tienes para el próximo feriado?,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
marketing@netflix-pagos.support,Descarga esta app y obtén recompensas exclusivas. (urgente),Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.,https://netflix-pagos.support/oferta,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
finanzas@loteria-gratis.win,Eres el afortunado ganador de un sorteo. (urgente),Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.,https://loteria-gratis.win/reclamar-premio,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
maria.garcia@cliente.com,No olvides la reunión de mañana a,No olvides la reunión de mañana a las 10 AM.,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
ventas@cliente.com,"Hola, ¿cómo estás? Espero que tengas un","Hola, ¿cómo estás? Espero que tengas un buen día.",,ham
noreply@casino-oro.fun,"Hola, te envío un préstamo sin intereses. (urgente)","Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com",http://préstamos-falsos.com,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
recursos.humanos@banco.mx,"La película de ayer estuvo increíble, te","La película de ayer estuvo increíble, te la recomiendo.",,ham
promos@bono-gob.mx.co,Este mensaje es para informarte que ganaste (urgente),Este mensaje es para informarte que ganaste una tarjeta de regalo.,https://loteria-gratis.win/reclamar-premio,spam
contabilidad@universidad.mx,Recuerda llevar la documentación para la cita,Recuerda llevar la documentación para la cita del médico.,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
juan.perez@banco.mx,Mamá me dijo que estarás en casa,Mamá me dijo que estarás en casa este fin de semana.,,ham
noreply@bono-gob.mx.co,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com,http://phishing.com,spam
ventas@cliente.com,"Feliz cumpleaños, espero que lo pases genial","Feliz cumpleaños, espero que lo pases genial con tu familia.",,ham
sistemas@empresa.com,URGENTE: Tu cuenta bancaria será bloqueada. Verifica,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com ,http://phishing.com,ham
